product_id,order_discounted_price,Order ID,date,product_name,category,product_discounted_price,actual_price,discount_percentage,rating,rating_count,customer_id,location,order_month,order_year,price_ratio
B07JW9H4J1,399.0,ORD1,2024-11-15,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399.0,1099.0,64,4.2,24269.0,CUST1,Australia,11,2024,0.3630573248407643
B07JW9H4J1,399.0,ORD1,2024-11-15,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399.0,1099.0,64,4.2,24270.0,CUST1,Australia,11,2024,0.3630573248407643
B07JW9H4J1,399.0,ORD1,2024-11-15,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399.0,1099.0,64,4.2,24269.0,CUST1,Australia,11,2024,0.3630573248407643
B098NS6PVG,199.0,ORD2,2024-07-13,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.0,349.0,43,4.0,43994.0,CUST2,North America,7,2024,0.5702005730659025
B098NS6PVG,199.0,ORD2,2024-07-13,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.0,349.0,43,4.0,43993.0,CUST2,North America,7,2024,0.5702005730659025
B098NS6PVG,199.0,ORD2,2024-07-13,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.0,349.0,43,4.0,43994.0,CUST2,North America,7,2024,0.5702005730659025
B096MSW6CT,199.0,ORD3,2026-05-01,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.0,1899.0,90,3.9,7928.0,CUST3,South America,5,2026,0.10479199578725645
B096MSW6CT,199.0,ORD3,2026-05-01,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.0,999.0,80,3.9,7928.0,CUST3,South America,5,2026,0.1991991991991992
B096MSW6CT,199.0,ORD3,2026-05-01,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.0,999.0,80,3.9,7928.0,CUST3,South America,5,2026,0.1991991991991992
B08HDJ86NZ,329.0,ORD4,2025-04-15,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,329.0,699.0,53,4.2,94363.0,CUST4,North America,4,2025,0.47067238912732473
B08HDJ86NZ,329.0,ORD4,2025-04-15,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,329.0,699.0,53,4.2,94364.0,CUST4,North America,4,2025,0.47067238912732473
B08HDJ86NZ,329.0,ORD4,2025-04-15,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,329.0,699.0,53,4.2,94364.0,CUST4,North America,4,2025,0.47067238912732473
B08CF3B7N1,154.0,ORD5,2025-02-02,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,154.0,399.0,61,4.2,16905.0,CUST5,North America,2,2025,0.38596491228070173
B08CF3B7N1,154.0,ORD5,2025-02-02,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,154.0,399.0,61,4.2,16905.0,CUST5,North America,2,2025,0.38596491228070173
B08CF3B7N1,154.0,ORD5,2025-02-02,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,154.0,399.0,61,4.2,16905.0,CUST5,North America,2,2025,0.38596491228070173
B08Y1TFSP6,149.0,ORD6,2026-10-15,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,149.0,1000.0,85,3.9,24871.0,CUST6,North America,10,2026,0.149
